toehold,rival,opening_bid,own_profit
0.1,eqm-restart-1,0.7500,0.235566
0.1,eqm-restart-1,1.1250,0.359031
0.1,eqm-restart-1,1.5000,0.204168
0.1,eqm-restart-1,1.8750,0.157639
0.1,eqm-restart-1,2.2500,-0.095833
0.1,eqm-restart-1,2.6250,-0.362500
0.1,eqm-restart-1,3.0000,-0.700000
0.1,eqm-restart-2,0.0000,0.240973
0.1,eqm-restart-2,0.3750,0.240981
0.1,eqm-restart-2,0.7500,0.235570
0.1,eqm-restart-2,1.1250,0.359028
0.1,eqm-restart-2,1.5000,0.204167
0.1,eqm-restart-2,1.8750,0.129168
0.1,eqm-restart-2,2.2500,-0.025000
0.1,eqm-restart-2,2.6250,-0.362500
0.1,eqm-restart-2,3.0000,-0.700000
0.1,eqm-restart-3,0.0000,0.349652
0.1,eqm-restart-3,0.3750,0.240973
0.1,eqm-restart-3,0.7500,0.240972
0.1,eqm-restart-3,1.1250,0.359029
0.1,eqm-restart-3,1.5000,0.204167
0.1,eqm-restart-3,1.8750,0.129167
0.1,eqm-restart-3,2.2500,-0.025000
0.1,eqm-restart-3,2.6250,-0.362500
0.1,eqm-restart-3,3.0000,-0.700000
0.1,eqm-restart-5,0.0000,0.349653
0.1,eqm-restart-5,0.3750,0.349653
0.1,eqm-restart-5,0.7500,0.240972
0.1,eqm-restart-5,1.1250,0.359028
0.1,eqm-restart-5,1.5000,0.204167
0.1,eqm-restart-5,1.8750,0.129167
0.1,eqm-restart-5,2.2500,-0.025000
0.1,eqm-restart-5,2.6250,-0.362500
0.1,eqm-restart-5,3.0000,-0.700000
0.1,uniform-rival,0.0000,0.493541
0.1,uniform-rival,0.3750,0.460318
0.1,uniform-rival,0.7500,0.423333
0.1,uniform-rival,1.1250,0.381713
0.1,uniform-rival,1.5000,0.335556
0.1,uniform-rival,1.8750,0.275000
0.1,uniform-rival,2.2500,0.179167
0.1,uniform-rival,2.6250,-0.031250
0.1,uniform-rival,3.0000,-0.700000
0.15,eqm-restart-0,0.0000,0.347323
0.15,eqm-restart-0,0.3750,0.347314
0.15,eqm-restart-0,0.7500,0.347325
0.15,eqm-restart-0,1.1250,0.455421
0.15,eqm-restart-0,1.5000,0.301042
0.15,eqm-restart-0,1.8750,0.235417
0.15,eqm-restart-0,2.2500,0.087500
0.15,eqm-restart-0,2.6250,-0.231250
0.15,eqm-restart-0,3.0000,-0.550000
0.15,eqm-restart-1,0.0000,0.347321
0.15,eqm-restart-1,0.3750,0.432466
0.15,eqm-restart-1,0.7500,0.323959
0.15,eqm-restart-1,1.1250,0.455422
0.15,eqm-restart-1,1.5000,0.301043
0.15,eqm-restart-1,1.8750,0.260764
0.15,eqm-restart-1,2.2500,0.022917
0.15,eqm-restart-1,2.6250,-0.231250
0.15,eqm-restart-1,3.0000,-0.550000
