toehold,restart,opening_bid,p_rival_deterred,p_open_wait,expected_price_given_sale,p_win0,p_win1,p_no_sale,value0,value1,nashconv,converged,iterations
0.4,1,1.031570,0.278514,0.014715,1.701054,0.913817,0.086183,0.000000,0.971446,0.007921,0.00305712,0,300000
0.4,2,1.122076,0.362402,0.397400,1.698242,0.853895,0.146105,0.000000,0.970759,0.010296,0.00167557,0,300000
0.4,3,0.008667,0.002634,0.030991,1.632763,0.869876,0.130124,0.000000,1.014209,0.006133,0.01281353,0,300000
0.4,4,1.019108,0.301795,0.462360,1.715374,0.875123,0.124877,0.000000,0.960515,0.010260,0.00446458,0,300000
0.4,5,1.001536,0.283973,0.000002,1.721018,0.870854,0.129146,0.000000,0.957068,0.010321,0.00276115,0,300000
0.5,0,0.548866,0.090095,0.038557,1.675568,0.818289,0.181711,0.000000,1.141648,0.020568,0.00014195,0,300000
0.5,1,1.100034,0.248029,0.837110,1.711193,0.894366,0.105634,0.000000,1.131750,0.012653,0.00144948,0,300000
0.5,2,0.802144,0.145235,0.405882,1.675371,0.817227,0.182773,0.000000,1.141570,0.020744,0.00028154,0,300000
0.5,3,0.653424,0.141617,0.480199,1.710520,0.901905,0.098095,0.000000,1.131430,0.013309,0.01565875,0,300000
0.5,4,0.476895,0.105477,0.353169,1.733289,0.900109,0.099891,0.000000,1.122524,0.010832,0.02865214,0,300000
0.5,5,0.394372,0.009134,0.001389,1.703943,0.900801,0.099199,0.000000,1.134313,0.013715,0.00029214,0,300000
