num_signals,mix_fraction,exact_expl,approx_mean,approx_std
1,0.000,0.002128,0.001058,0.001497
1,0.050,0.032810,0.033667,0.001833
1,0.100,0.063379,0.057642,0.005773
1,0.200,0.124181,0.121175,0.002889
1,0.400,0.252233,0.252217,0.001118
1,1.000,0.731944,0.728558,0.008646
2,0.000,0.003075,0.002125,0.001256
2,0.050,0.034059,0.027942,0.002710
2,0.100,0.065608,0.058533,0.003239
2,0.200,0.133561,0.127367,0.004483
2,0.400,0.270247,0.257392,0.003697
2,1.000,0.764352,0.764558,0.002410
